id,defect_score
WEP937333Q4A_02-APG_ITIS_H45_2_305_1,0.45439250871990744
WEP936170A3A_11-1GW-ITISA44-2_307_3,0.34818754750656833
WEP93723941A_04-5CW-ITISA46-2_975_1,0.7449917467804291
WEP93706894A_31-5CW-ITISA43-2_116_4,0.7519908478813555
WEL93728915A_09-6BW-ITISA54-2_374_1,0.730429244786899
WEP93724851A_21-5CW-ITISA43-1_196_3,0.6814816235266155
WEL93709455A_02-5BW-ITISA54-1_143_1,0.8113579954302907
WEP93724811A_33-5CW-ITISA43-1_236_1,0.8426348368069524
WEP937304Q3A_17-7CW-ITISA45-2_264_2,0.6387594583638962
WEL93723955A_20-5CW-ITISA54-1_204_1,0.7926280897378424
WEP93137661A_11-APG_ITIS_H49_1_348_1,0.3287896222685314
WEP93705970A_16-210-ITISA75-2_131_1,0.6721420107259495
WEL92908895A_55-APG_ITIS_H09_2_379_3,0.25262345102359623
WEP93714414A_22-WDV-ITISA75-2_73_3,0.39218909179127154
WEP93509754A_14-APG_ITIS_H53_1_189_3,0.19222479843921136
WEP93705970A_11-210-ITISA75-1_96_1,0.8064809441378632
WEP93714412A_11-WDV-ITISA50-2_149_4,0.8448620404202396
WEP93726293A_46-6CW-ITISA46-2_300_1,0.7534547336033875
WEP93706894A_06-5CW-ITISA43-2_38_3,0.7754680738490249
WEP93617352A_61-1GW-ITISA49-1_22_1,0.8567142667203139
WEP93724194A_20-5CW-ITISA47-2_270_1,0.7338612113466788
WEP93007711A_17-APG_ITIS_H09_1_112_3,0.23309757563863476
WEP93724111A_11-5CW-ITISA51-2_49_1,0.7192197595693319
WEP93729814A_41-5BW-ITISA50-1_355_3,0.671580448839789
WEL927267D5A_19-WCM-ITISA53-2_41_2,0.619499722701752
WEL93524816A_40-3BW-ITISA52-2_376_3,0.6053013515488102
WEL93721775A_11-Z1W-ITISA53-1_333_4,0.7937728348946015
WEP93707893A_20-5CW-ITISA51-1_50_1,0.8126798541109906
WEL93415255A_06-APG_ITIS_H13_2_78_2,0.15529310532510823
WEP93705970A_07-210-ITISA75-1_214_2,0.5591012671487311
WEP93714352A_11-TVW-ITISA75-1_902_2,0.6418697110211642
WEP93306094A_57-APG_ITIS_H51_1_293_4,0.7364075696686178
WEL91209018A_23-WSC-ITISA09-1_41_3,0.14570878607882626
WEP93636914A_46-APG_ITIS_H49_1_156_1,0.4300461395963542
WEE939001H0A_01-1FW-ITISA20-2_350_4,0.4403922701713614
WEL93524816A_43-3BW-ITISA53-2_159_4,0.7664471679525073
WEL93721775A_27-Z1W-ITISA53-1_309_2,0.5712734632816332
WEP93724114A_36-5CW-ITISA51-1_236_1,0.738680142628811
WEP937068H1A_21-5CW-ITISA46-1_254_2,0.46935538694049767
WEL93524816A_34-3BW-ITISA52-1_172_3,0.45678690376052766
WEP93622711A_31-LJW-ITISA56-2_257_4,0.7018051327168755
WEP93714414A_19-WDV-ITISA75-2_252_2,0.3537858340524385
WEP93622711A_44-LJW-ITISA56-2_348_1,0.7661659988193811
WEP93714414A_22-WDV-ITISA75-2_119_4,0.5636566691452574
WEP93724114A_01-5CW-ITISA51-1_185_4,0.7451382878538091
WEL936218K5A_52-3GW-ITISA54-1_238_2,0.7403675318236771
WEP93740111A_55-Z3W-ITISA47-1_304_4,0.7427200149280113
WEL93728915A_46-6BW-ITISA54-1_144_1,0.7818567781060161
WEL93728915A_25-6BW-ITISA54-1_190_1,0.8199372016696638
WEL93523912A_51-WSC-ITISA13-1_116_4,0.788269650828115
WEE939001B0A_10-1FW-ITISA20-1_340_1,0.2439172921987049
WEP93723943A_04-5CW-ITISA46-1_115_2,0.6092503444681688
WEL937119N5A_13-APG_ITIS_H13_2_279_3,0.03497787934023638
WEP937066R1A_07-APG_ITIS_H13_1_106_4,0.1705596723303052
WEP937285D3A_05-W7X-ITISA73-1_126_2,0.19900806479319652
WEP93617352A_36-1GW-ITISA49-2_103_4,0.6699465557627936
WEL93728915A_16-6BW-ITISA54-2_149_1,0.8442797090194426
WEP937059A1A_04-210-ITISA57-1_355_3,0.8591009390196305
WEL91209018A_36-WSC-ITISA09-2_344_3,0.13974697282399803
WEP93808310A_11-VAW-ITISA73-1_227_2,0.20056323490177771
WEP93730524A_01-5BW-ITISA73-2_380_4,0.3522705067169142
WEA938001H3A_51-5CW-ITISA51-1_263_1,0.7847606029145752
WEP93120892A_43-APG_ITIS_H47_2_357_3,0.5686031039057032
WEL92636296A_01-WCJ-ITISA13-1_321_3,0.7376854025188817
