Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
5668104,2682842,4271,293212,"Pennsylvania State University, USA",293377,"Beijing Institute of Technology, China",15577129,9228298,293212,293377,2013-11-15 02:08:56 UTC,2013-11-15 02:08:56 UTC,8.514,"",TRUE,5c79b9cacd380f8599a033bd3f98253e,worldcollege,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",http://www.allourideas.org/questions/new,FALSE,NA
5668105,2682842,4271,293273,"University of California, Santa Cruz, USA",293195,"Washington University in St Louis, USA",15577698,9228300,293195,293273,2013-11-15 02:09:17 UTC,2013-11-15 02:09:17 UTC,4.763,"",FALSE,5c79b9cacd380f8599a033bd3f98253e,worldcollege,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",http://www.allourideas.org/questions/new,FALSE,NA
5668106,2682842,4271,293156,"Massachusetts Institute of Technology, USA",293308,"Texas A&M University, USA",15577855,9228301,293156,293308,2013-11-15 02:09:26 UTC,2013-11-15 02:09:26 UTC,6.282,"",TRUE,5c79b9cacd380f8599a033bd3f98253e,worldcollege,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",http://www.allourideas.org/questions/new,FALSE,NA
5668107,2682842,4271,293155,"Harvard University, USA",293192,"New York University, USA",15577131,9228304,293155,293192,2013-11-15 02:10:00 UTC,2013-11-15 02:10:00 UTC,2.806,"",FALSE,5c79b9cacd380f8599a033bd3f98253e,worldcollege,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",http://www.allourideas.org/questions/new,FALSE,NA
5668108,2682842,4271,293245,"Michigan State University, USA",293373,"Central South University, China",15577132,9228305,293373,293245,2013-11-15 02:10:15 UTC,2013-11-15 02:10:15 UTC,10.544,"",TRUE,5c79b9cacd380f8599a033bd3f98253e,worldcollege,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",http://www.allourideas.org/questions/new,FALSE,NA
5668109,2682842,4271,293167,"Johns Hopkins University, USA",293326,"Rensselaer Polytechnic Institute, USA",15577133,9228307,293167,293326,2013-11-15 02:10:19 UTC,2013-11-15 02:10:19 UTC,3.085,"",TRUE,5c79b9cacd380f8599a033bd3f98253e,worldcollege,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",http://www.allourideas.org/questions/new,FALSE,NA
5668110,2682842,4271,293348,"University of Leicester, UK",293267,"Aarhus University, Denmark",15577136,9228311,293348,293267,2013-11-15 02:11:03 UTC,2013-11-15 02:11:03 UTC,4.682,"",FALSE,5c79b9cacd380f8599a033bd3f98253e,worldcollege,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",http://www.allourideas.org/questions/new,FALSE,NA
5668111,2682842,4271,293182,"University of Wisconsin-Madison, USA",293305,"RWTH Aachen University, Germany",15577138,9228313,293305,293182,2013-11-15 02:11:18 UTC,2013-11-15 02:11:18 UTC,3.285,"",FALSE,5c79b9cacd380f8599a033bd3f98253e,worldcollege,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",http://www.allourideas.org/questions/new,FALSE,NA
5668112,2682842,4271,293277,"Dartmouth College, USA",293194,"Karolinska Institute, Sweden",15577141,9228317,293194,293277,2013-11-15 02:11:48 UTC,2013-11-15 02:11:48 UTC,4.409,"",FALSE,5c79b9cacd380f8599a033bd3f98253e,worldcollege,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",http://www.allourideas.org/questions/new,FALSE,NA
5668113,2682842,4271,293191,"École Polytechnique Fédérale de Lausanne, Switzerland",293291,"VU University Amsterdam, Netherlands",15577142,9228318,293291,293191,2013-11-15 02:11:54 UTC,2013-11-15 02:11:54 UTC,4.518,"",TRUE,5c79b9cacd380f8599a033bd3f98253e,worldcollege,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",http://www.allourideas.org/questions/new,FALSE,NA
5668114,2682850,4271,293354,"Zhejiang University, China",293353,Renmin University of China,15577145,9228324,293354,293353,2013-11-15 02:18:59 UTC,2013-11-15 02:18:59 UTC,12.924,"",TRUE,f14497e2360750b58fe3d1b24a04b725,worldcollege,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",DIRECT_VISIT,FALSE,NA
