id,label
WEL936218K5A_49-3GW-ITISA52-2_138_4.bmp,0
WEP93714414A_15-WDV-ITISA75-2_195_2.bmp,0
WEL927267D5A_21-WCM-ITISA53-2_271_3.bmp,0
WEE93900150A_01-1FW-ITISA20-1_216_4.bmp,0
WEP93729694A_11-5BW-ITISA47-2_17_2.bmp,0
WEP93724111A_53-5CW-ITISA50-1_80_4.bmp,0
WEP93714313A_05-TVW-ITISA75-2_822_3.bmp,0
WEL93143855A_24-APG_ITIS_H13_1_51_4.bmp,1
WEP93714412A_35-WDV-ITISA50-1_293_4.bmp,0
WEL930041D5A_17-WV3-ITISA09-1_98_4.bmp,0
WEL936218K5A_38-3GW-ITISA52-2_16_4.bmp,0
WEP93714412A_43-WDV-ITISA50-1_119_3.bmp,0
WEP93706814A_11-5CW-ITISA49-1_151_3.bmp,0
WEP93715852A_46-APG_ITIS_H166_1_231_3.bmp,1
WEP93724194A_20-5CW-ITISA47-1_185_4.bmp,0
WEP93609595A_14-A7W-ITISA75-1_339_2.bmp,0
WEP936241A2A_04-APG_ITIS_H49_2_505_4.bmp,1
WEP93714213A_16-WDV-ITISA75-2_834_4.bmp,0
WEP937405K4A_02-Z7W-ITISA47-1_337_4.bmp,0
WEP93809112A_18-PTW-ITISA73-1_322_3.bmp,0
WEP937078H1A_16-5CW-ITISA51-2_248_3.bmp,0
WEP93726293A_46-6CW-ITISA46-1_287_3.bmp,0
WEL93728915A_20-6BW-ITISA54-1_262_3.bmp,0
WEP93827851B_04-APG_ITIS_H49_2_147_4.bmp,1
WEL92931955A_02-APG_ITIS_H09_2_210_3.bmp,1
WEP93617352A_66-1GW-ITISA51-1_81_4.bmp,0
WEL93723955A_17-5CW-ITISA54-1_332_3.bmp,0
WEP936170A3A_21-1GW-ITISA44-1_374_1.bmp,0
WEP93502715A_02-APG_ITIS_H53_1_358_2.bmp,1
WEL93026014A_13-APG_ITIS_H09_1_370_1.bmp,1
WEP93724114A_33-5CW-ITISA51-2_191_1.bmp,0
WEP93609595A_01-A7W-ITISA75-2_131_1.bmp,0
WEP93730524A_01-5BW-ITISA73-2_309_4.bmp,0
WEP93705970A_26-210-ITISA75-1_148_4.bmp,0
WEL93728915A_16-6BW-ITISA54-2_188_4.bmp,0
